index,Region,Year,Month,Production,Diff_production
0,JH,1998,1,118.359,0.0
1,JH,1998,2,147.988,0.0
2,JH,1998,3,145.514,29.629
3,JH,1998,4,154.638,-2.474
4,JH,1998,5,155.827,9.124
5,JH,1998,6,163.215,1.189
6,JH,1998,7,182.535,7.388
7,JH,1998,8,195.686,19.32
8,JH,1998,9,210.113,13.151
9,JH,1998,10,203.115,14.427
10,JH,1998,11,186.055,-6.998
11,JH,1998,12,158.304,-17.06
12,JH,1999,1,133.109,-27.751
13,JH,1999,2,147.24,-25.195
14,JH,1999,3,169.754,14.131
15,JH,1999,4,192.155,22.514
16,JH,1999,5,216.57,22.401
17,JH,1999,6,210.553,24.415
18,JH,1999,7,223.731,-6.017
19,JH,1999,8,224.397,13.178
20,JH,1999,9,234.327,0.666
21,JH,1999,10,237.426,9.93
22,JH,1999,11,225.412,3.099
23,JH,1999,12,210.489,-12.014
24,JH,2000,1,176.328,-14.923
25,JH,2000,2,164.926,-34.161
26,JH,2000,3,173.124,-11.402
27,JH,2000,4,177.804,8.198
28,JH,2000,5,185.927,4.68
29,JH,2000,6,199.5,8.123
30,JH,2000,7,204.75,13.573
31,JH,2000,8,211.713,5.25
32,JH,2000,9,233.193,6.963
33,JH,2000,10,239.385,21.48
34,JH,2000,11,239.598,6.192
35,JH,2000,12,175.965,0.213
36,JH,2001,1,199.24,-63.633
37,JH,2001,2,171.77,23.275
38,JH,2001,3,170.966,-27.47
39,JH,2001,4,176.878,-0.804
40,JH,2001,5,188.395,5.912
41,JH,2001,6,183.676,11.517
42,JH,2001,7,187.813,-4.719
43,JH,2001,8,211.931,4.137
44,JH,2001,9,221.399,24.118
45,JH,2001,10,230.672,9.468
46,JH,2001,11,209.077,9.273
47,JH,2001,12,176.049,-21.595
48,JH,2002,1,177.839,-33.028
49,JH,2002,2,140.047,1.79
50,JH,2002,3,162.689,-37.792
51,JH,2002,4,160.742,22.642
52,JH,2002,5,176.955,-1.947
53,JH,2002,6,187.515,16.213
54,JH,2002,7,207.064,10.56
55,JH,2002,8,214.915,19.549
56,JH,2002,9,230.929,7.851
57,JH,2002,10,230.638,16.014
58,JH,2002,11,205.439,-0.291
59,JH,2002,12,177.754,-25.199
60,JH,2003,1,170.296,-27.685
61,JH,2003,2,153.45,-7.458
62,JH,2003,3,197.905,-16.846
63,JH,2003,4,221.055,44.455
64,JH,2003,5,232.739,23.15
65,JH,2003,6,241.319,11.684
66,JH,2003,7,248.74,8.58
67,JH,2003,8,242.578,7.421
68,JH,2003,9,248.51,-6.162
69,JH,2003,10,223.714,5.932
70,JH,2003,11,193.828,-24.796
71,JH,2003,12,231.986,-29.886
72,JH,2004,1,161.686,38.158
73,JH,2004,2,167.235,-70.3
74,JH,2004,3,180.851,5.549
75,JH,2004,4,191.626,13.616
76,JH,2004,5,220.506,10.775
77,JH,2004,6,233.33,28.88
78,JH,2004,7,240.156,12.824
79,JH,2004,8,235.884,6.826
80,JH,2004,9,255.614,-4.272
81,JH,2004,10,250.95,19.73
82,JH,2004,11,220.849,-4.664
83,JH,2004,12,233.651,-30.101
84,JH,2005,1,205.973,12.802
85,JH,2005,2,183.37,-27.678
86,JH,2005,3,218.398,-22.603
87,JH,2005,4,214.688,35.028
88,JH,2005,5,236.13,-3.71
89,JH,2005,6,229.296,21.442
90,JH,2005,7,237.548,-6.834
91,JH,2005,8,230.896,8.252
92,JH,2005,9,239.294,-6.652
93,JH,2005,10,223.837,8.398
94,JH,2005,11,190.419,-15.457
95,JH,2005,12,160.418,-33.418
96,JH,2006,1,145.637,-30.001
97,JH,2006,2,193.908,-14.781
98,JH,2006,3,229.324,48.271
99,JH,2006,4,240.346,35.416
100,JH,2006,5,267.948,11.022
101,JH,2006,6,260.255,27.602
102,JH,2006,7,265.266,-7.693
103,JH,2006,8,290.846,5.011
104,JH,2006,9,279.002,25.58
105,JH,2006,10,226.696,-11.844
106,JH,2006,11,260.429,-52.306
107,JH,2006,12,161.383,33.733
108,JH,2007,1,160.215,-99.046
109,JH,2007,2,148.427,-1.168
110,JH,2007,3,172.007,-11.788
111,JH,2007,4,182.575,23.58
112,JH,2007,5,196.112,10.568
113,JH,2007,6,191.218,13.537
114,JH,2007,7,244.877,-4.894
115,JH,2007,8,268.332,53.659
116,JH,2007,9,270.622,23.455
117,JH,2007,10,270.185,2.29
118,JH,2007,11,276.955,-0.437
119,JH,2007,12,243.713,6.77
120,JH,2008,1,241.662,-33.242
121,JH,2008,2,217.673,-2.051
122,JH,2008,3,229.253,-23.989
123,JH,2008,4,209.989,11.58
124,JH,2008,5,229.763,-19.264
125,JH,2008,6,231.758,19.774
126,JH,2008,7,252.11,1.995
127,JH,2008,8,258.638,20.352
128,JH,2008,9,248.514,6.528
129,JH,2008,10,269.094,-10.124
130,JH,2008,11,281.432,20.58
131,JH,2008,12,251.442,12.338
132,JH,2009,1,221.711,-29.99
133,JH,2009,2,208.299,-29.731
134,JH,2009,3,206.43,-13.412
135,JH,2009,4,214.957,-1.869
136,JH,2009,5,244.809,8.527
137,JH,2009,6,260.523,29.852
138,JH,2009,7,273.706,15.714
139,JH,2009,8,247.842,13.183
140,JH,2009,9,244.425,-25.864
141,JH,2009,10,326.184,-3.417
142,JH,2009,11,253.616,81.759
143,JH,2009,12,235.343,-72.568
144,JH,2010,1,209.505,-18.273
145,JH,2010,2,193.756,-25.838
146,JH,2010,3,232.43,-15.749
147,JH,2010,4,217.338,38.674
148,JH,2010,5,245.879,-15.092
149,JH,2010,6,258.857,28.541
150,JH,2010,7,264.492,12.978
151,JH,2010,8,255.194,5.635
152,JH,2010,9,245.335,-9.298
153,JH,2010,10,266.321,-9.859
154,JH,2010,11,232.593,20.986
155,JH,2010,12,186.448,-33.728
156,JH,2011,1,169.897,-46.145
157,JH,2011,2,172.278,-16.551
158,JH,2011,3,229.479,2.381
159,JH,2011,4,242.912,57.201
160,JH,2011,5,284.842,13.433
161,JH,2011,6,285.567,41.93
162,JH,2011,7,278.396,0.725
163,JH,2011,8,268.496,-7.171
164,JH,2011,9,302.377,-9.9
165,JH,2011,10,309.233,33.881
166,JH,2011,11,255.19,6.856
167,JH,2011,12,223.67,-54.043
168,JH,2012,1,191.594,-31.52
169,JH,2012,2,181.334,-32.076
170,JH,2012,3,180.834,-10.26
171,JH,2012,4,198.155,-0.5
172,JH,2012,5,225.183,17.321
173,JH,2012,6,249.569,27.028
174,JH,2012,7,278.021,24.386
175,JH,2012,8,257.313,28.452
176,JH,2012,9,320.36,-20.708
177,JH,2012,10,306.34,63.047
178,JH,2012,11,289.152,-14.02
179,JH,2012,12,268.765,-17.188
180,JH,2013,1,236.864,-20.387
181,JH,2013,2,180.277,-31.901
182,JH,2013,3,196.443,-56.587
183,JH,2013,4,217.999,16.166
184,JH,2013,5,222.98,21.556
185,JH,2013,6,246.078,4.981
186,JH,2013,7,278.357,23.098
187,JH,2013,8,269.148,32.279
188,JH,2013,9,306.037,-9.209
189,JH,2013,10,315.86,36.889
190,JH,2013,11,289.997,9.823
191,JH,2013,12,253.845,-25.863
192,JH,2014,1,235.748,-36.152
193,JH,2014,2,194.587,-18.097
194,JH,2014,3,223.268,-41.161
195,JH,2014,4,225.776,28.681
196,JH,2014,5,248.045,2.508
197,JH,2014,6,257.604,22.269
198,JH,2014,7,278.807,9.559
199,JH,2014,8,329.485,21.203
200,JH,2014,9,295.434,50.678
201,JH,2014,10,294.13,-34.051
202,JH,2014,11,263.147,-1.304
203,JH,2014,12,201.004,-30.983
204,JH,2015,1,171.725,-62.143
205,JH,2015,2,188.325,-29.279
206,JH,2015,3,247.856,16.6
207,JH,2015,4,282.791,59.531
208,JH,2015,5,291.057,34.935
209,JH,2015,6,287.502,8.266
210,JH,2015,7,288.086,-3.555
211,JH,2015,8,313.321,0.584
212,JH,2015,9,299.337,25.235
213,JH,2015,10,300.383,-13.984
214,JH,2015,11,246.005,1.046
215,JH,2015,12,201.231,-54.378
216,JH,2016,1,163.84,-44.774
217,JH,2016,2,166.663,-37.391
218,JH,2016,3,185.974,2.823
219,JH,2016,4,200.321,19.311
220,JH,2016,5,207.485,14.347
221,JH,2016,6,229.105,7.164
222,JH,2016,7,232.726,21.62
223,JH,2016,8,264.981,3.621
224,JH,2016,9,280.248,32.255
225,JH,2016,10,284.922,15.267
226,JH,2016,11,274.107,4.674
227,JH,2016,12,254.881,-10.815
228,JH,2017,1,211.81,-19.226
229,JH,2017,2,214.747,-43.071
230,JH,2017,3,210.002,2.937
231,JH,2017,4,216.574,-4.745
232,JH,2017,5,225.834,6.572
233,JH,2017,6,205.989,9.26
234,JH,2017,7,284.963,-19.845
235,JH,2017,8,293.14,78.974
236,JH,2017,9,295.578,8.177
0,PH,1998,1,84.387,2.438
1,PH,1998,2,108.105,-211.191
2,PH,1998,3,109.358,23.718
3,PH,1998,4,114.967,1.253
4,PH,1998,5,112.704,5.609
5,PH,1998,6,117.54,-2.263
6,PH,1998,7,127.401,4.836
7,PH,1998,8,150.633,9.861
8,PH,1998,9,156.088,23.232
9,PH,1998,10,137.4,5.455
10,PH,1998,11,132.923,-18.688
11,PH,1998,12,99.202,-4.477
12,PH,1999,1,76.027,-33.721
13,PH,1999,2,91.781,-23.175
14,PH,1999,3,118.516,15.754
15,PH,1999,4,160.132,26.735
16,PH,1999,5,189.223,41.616
17,PH,1999,6,175.983,29.091
18,PH,1999,7,167.967,-13.24
19,PH,1999,8,171.234,-8.016
20,PH,1999,9,183.782,3.267
21,PH,1999,10,188.578,12.548
22,PH,1999,11,179.923,4.796
23,PH,1999,12,163.96,-8.655
24,PH,2000,1,137.472,-15.963
25,PH,2000,2,129.379,-26.488
26,PH,2000,3,133.885,-8.093
27,PH,2000,4,140.205,4.506
28,PH,2000,5,131.905,6.32
29,PH,2000,6,126.214,-8.3
30,PH,2000,7,126.449,-5.691
31,PH,2000,8,144.868,0.235
32,PH,2000,9,171.705,18.419
33,PH,2000,10,191.156,26.837
34,PH,2000,11,192.707,19.451
35,PH,2000,12,147.938,1.551
36,PH,2001,1,180.631,-44.769
37,PH,2001,2,153.434,32.693
38,PH,2001,3,157.776,-27.197
39,PH,2001,4,171.547,4.342
40,PH,2001,5,178.935,13.771
41,PH,2001,6,169.963,7.388
42,PH,2001,7,174.125,-8.972
43,PH,2001,8,181.467,4.162
44,PH,2001,9,189.991,7.342
45,PH,2001,10,186.597,8.524
46,PH,2001,11,164.146,-3.394
47,PH,2001,12,138.919,-22.451
48,PH,2002,1,134.56,-25.227
49,PH,2002,2,111.138,-4.359
50,PH,2002,3,130.582,-23.422
51,PH,2002,4,121.303,19.444
52,PH,2002,5,132.892,-9.279
53,PH,2002,6,147.509,11.589
54,PH,2002,7,170.898,14.617
55,PH,2002,8,179.182,23.389
56,PH,2002,9,199.254,8.284
57,PH,2002,10,192.101,20.072
58,PH,2002,11,164.05,-7.153
59,PH,2002,12,129.334,-28.051
60,PH,2003,1,109.031,-34.716
61,PH,2003,2,105.916,-20.303
62,PH,2003,3,153.447,-3.115
63,PH,2003,4,177.704,47.531
64,PH,2003,5,184.477,24.257
65,PH,2003,6,196.497,6.773
66,PH,2003,7,205.444,12.02
67,PH,2003,8,202.0,8.947
68,PH,2003,9,201.398,-3.444
69,PH,2003,10,172.118,-0.602
70,PH,2003,11,143.906,-29.28
71,PH,2003,12,161.922,-28.212
72,PH,2004,1,113.424,18.016
73,PH,2004,2,121.836,-48.498
74,PH,2004,3,140.717,8.412
75,PH,2004,4,151.337,18.881
76,PH,2004,5,166.141,10.62
77,PH,2004,6,177.367,14.804
78,PH,2004,7,185.65,11.226
79,PH,2004,8,192.32,8.283
80,PH,2004,9,213.751,6.67
81,PH,2004,10,190.548,21.431
82,PH,2004,11,185.335,-23.203
83,PH,2004,12,187.377,-5.213
84,PH,2005,1,161.883,2.042
85,PH,2005,2,143.72,-25.494
86,PH,2005,3,178.558,-18.163
87,PH,2005,4,185.208,34.838
88,PH,2005,5,206.214,6.65
89,PH,2005,6,188.018,21.006
90,PH,2005,7,201.089,-18.196
91,PH,2005,8,201.671,13.071
92,PH,2005,9,205.394,0.582
93,PH,2005,10,189.325,3.723
94,PH,2005,11,152.665,-16.069
95,PH,2005,12,118.779,-36.66
96,PH,2006,1,108.659,-33.886
97,PH,2006,2,137.622,-10.12
98,PH,2006,3,165.481,28.963
99,PH,2006,4,205.117,27.859
100,PH,2006,5,217.454,39.636
101,PH,2006,6,205.54,12.337
102,PH,2006,7,217.229,-11.914
103,PH,2006,8,230.885,11.689
104,PH,2006,9,229.117,13.656
105,PH,2006,10,195.544,-1.768
106,PH,2006,11,227.029,-33.573
107,PH,2006,12,153.225,31.485
108,PH,2007,1,142.886,-73.804
109,PH,2007,2,123.048,-10.339
110,PH,2007,3,144.31,-19.838
111,PH,2007,4,152.799,21.262
112,PH,2007,5,161.753,8.489
113,PH,2007,6,154.373,8.954
114,PH,2007,7,193.628,-7.38
115,PH,2007,8,216.004,39.255
116,PH,2007,9,223.257,22.376
117,PH,2007,10,229.405,7.253
118,PH,2007,11,247.641,6.148
119,PH,2007,12,169.698,18.236
120,PH,2008,1,209.417,-77.943
121,PH,2008,2,187.061,39.719
122,PH,2008,3,211.295,-22.356
123,PH,2008,4,211.141,24.234
124,PH,2008,5,226.535,-0.154
125,PH,2008,6,230.165,15.394
126,PH,2008,7,250.049,3.63
127,PH,2008,8,250.929,19.884
128,PH,2008,9,236.945,0.88
129,PH,2008,10,252.795,-13.984
130,PH,2008,11,251.229,15.85
131,PH,2008,12,232.824,-1.566
132,PH,2009,1,197.604,-18.405
133,PH,2009,2,186.074,-35.22
134,PH,2009,3,202.189,-11.53
135,PH,2009,4,197.749,16.115
136,PH,2009,5,214.064,-4.44
137,PH,2009,6,222.622,16.315
138,PH,2009,7,244.287,8.558
139,PH,2009,8,247.657,21.665
140,PH,2009,9,241.674,3.37
141,PH,2009,10,316.026,-5.983
142,PH,2009,11,240.878,74.352
143,PH,2009,12,209.636,-75.148
144,PH,2010,1,179.713,-31.242
145,PH,2010,2,168.491,-29.923
146,PH,2010,3,211.511,-11.222
147,PH,2010,4,195.696,43.02
148,PH,2010,5,203.653,-15.815
149,PH,2010,6,207.769,7.957
150,PH,2010,7,233.444,4.116
151,PH,2010,8,253.527,25.675
152,PH,2010,9,245.623,20.083
153,PH,2010,10,256.693,-7.904
154,PH,2010,11,227.24,11.07
155,PH,2010,12,165.07,-29.453
156,PH,2011,1,127.784,-62.17
157,PH,2011,2,147.446,-37.286
158,PH,2011,3,201.484,19.662
159,PH,2011,4,230.795,54.038
160,PH,2011,5,268.674,29.311
161,PH,2011,6,261.93,37.879
162,PH,2011,7,264.986,-6.744
163,PH,2011,8,249.314,3.056
164,PH,2011,9,294.28,-15.672
165,PH,2011,10,303.92,44.966
166,PH,2011,11,248.523,9.64
167,PH,2011,12,200.429,-55.397
168,PH,2012,1,174.113,-48.094
169,PH,2012,2,165.37,-26.316
170,PH,2012,3,168.53,-8.743
171,PH,2012,4,182.706,3.16
172,PH,2012,5,200.701,14.176
173,PH,2012,6,215.602,17.995
174,PH,2012,7,268.334,14.901
175,PH,2012,8,261.518,52.732
176,PH,2012,9,327.222,-6.816
177,PH,2012,10,309.876,65.704
178,PH,2012,11,290.733,-17.346
179,PH,2012,12,263.786,-19.143
180,PH,2013,1,237.134,-26.947
181,PH,2013,2,183.2,-26.652
182,PH,2013,3,189.204,-53.934
183,PH,2013,4,206.701,6.004
184,PH,2013,5,205.75,17.497
185,PH,2013,6,215.215,-0.951
186,PH,2013,7,258.771,9.465
187,PH,2013,8,279.04,43.556
188,PH,2013,9,328.385,20.269
189,PH,2013,10,330.559,49.345
190,PH,2013,11,299.257,2.174
191,PH,2013,12,228.895,-31.302
192,PH,2014,1,213.875,-70.362
193,PH,2014,2,171.093,-15.02
194,PH,2014,3,218.266,-42.782
195,PH,2014,4,230.387,47.173
196,PH,2014,5,242.591,12.121
197,PH,2014,6,230.621,12.204
198,PH,2014,7,248.1,-11.97
199,PH,2014,8,307.877,17.479
200,PH,2014,9,290.297,59.777
201,PH,2014,10,295.789,-17.58
202,PH,2014,11,275.286,5.492
203,PH,2014,12,165.152,-20.503
204,PH,2015,1,141.442,-110.134
205,PH,2015,2,158.471,-23.71
206,PH,2015,3,218.187,17.029
207,PH,2015,4,247.363,59.716
208,PH,2015,5,261.187,29.176
209,PH,2015,6,254.275,13.824
210,PH,2015,7,279.108,-6.912
211,PH,2015,8,323.407,24.833
212,PH,2015,9,305.767,44.299
213,PH,2015,10,306.181,-17.64
214,PH,2015,11,257.504,0.414
215,PH,2015,12,197.408,-48.677
216,PH,2016,1,143.877,-60.096
217,PH,2016,2,145.301,-53.531
218,PH,2016,3,175.322,1.424
219,PH,2016,4,182.277,30.021
220,PH,2016,5,189.899,6.955
221,PH,2016,6,211.186,7.622
222,PH,2016,7,216.965,21.287
223,PH,2016,8,233.633,5.779
224,PH,2016,9,242.147,16.668
225,PH,2016,10,244.163,8.514
226,PH,2016,11,232.024,2.016
227,PH,2016,12,206.584,-12.139
228,PH,2017,1,158.749,-25.44
229,PH,2017,2,155.267,-47.835
230,PH,2017,3,192.591,-3.482
231,PH,2017,4,220.542,37.324
232,PH,2017,5,240.464,27.951
233,PH,2017,6,208.479,19.922
234,PH,2017,7,266.409,-31.985
235,PH,2017,8,260.26,57.93
236,PH,2017,9,262.629,-6.149
0,PRK,1998,1,64.054,2.369
1,PRK,1998,2,75.258,-198.575
2,PRK,1998,3,76.202,11.204
3,PRK,1998,4,75.789,0.944
4,PRK,1998,5,83.162,-0.413
5,PRK,1998,6,92.812,7.373
6,PRK,1998,7,102.732,9.65
7,PRK,1998,8,104.759,9.92
8,PRK,1998,9,95.395,2.027
9,PRK,1998,10,82.394,-9.364
10,PRK,1998,11,74.966,-13.001
11,PRK,1998,12,74.023,-7.428
12,PRK,1999,1,62.794,-0.943
13,PRK,1999,2,74.889,-11.229
14,PRK,1999,3,96.611,12.095
15,PRK,1999,4,107.758,21.722
16,PRK,1999,5,117.244,11.147
17,PRK,1999,6,117.867,9.486
18,PRK,1999,7,123.901,0.623
19,PRK,1999,8,115.503,6.034
20,PRK,1999,9,116.361,-8.398
21,PRK,1999,10,102.64,0.858
22,PRK,1999,11,95.038,-13.721
23,PRK,1999,12,90.316,-7.602
24,PRK,2000,1,79.192,-4.722
25,PRK,2000,2,76.912,-11.124
26,PRK,2000,3,85.279,-2.28
27,PRK,2000,4,90.979,8.367
28,PRK,2000,5,103.734,5.7
29,PRK,2000,6,108.262,12.755
30,PRK,2000,7,126.481,4.528
31,PRK,2000,8,131.995,18.219
32,PRK,2000,9,130.828,5.514
33,PRK,2000,10,124.208,-1.167
34,PRK,2000,11,121.795,-6.62
35,PRK,2000,12,93.823,-2.413
36,PRK,2001,1,104.593,-27.972
37,PRK,2001,2,94.391,10.77
38,PRK,2001,3,96.906,-10.202
39,PRK,2001,4,97.72,2.515
40,PRK,2001,5,107.211,0.814
41,PRK,2001,6,105.651,9.491
42,PRK,2001,7,110.938,-1.56
43,PRK,2001,8,121.459,5.287
44,PRK,2001,9,119.082,10.521
45,PRK,2001,10,115.221,-2.377
46,PRK,2001,11,105.283,-3.861
47,PRK,2001,12,102.032,-9.938
48,PRK,2002,1,105.865,-3.251
49,PRK,2002,2,84.826,3.833
50,PRK,2002,3,102.205,-21.039
51,PRK,2002,4,94.747,17.379
52,PRK,2002,5,100.49,-7.458
53,PRK,2002,6,109.994,5.743
54,PRK,2002,7,123.854,9.504
55,PRK,2002,8,132.836,13.86
56,PRK,2002,9,129.498,8.982
57,PRK,2002,10,118.432,-3.338
58,PRK,2002,11,98.094,-11.066
59,PRK,2002,12,91.153,-20.338
60,PRK,2003,1,103.335,-6.941
61,PRK,2003,2,95.39,12.182
62,PRK,2003,3,116.35,-7.945
63,PRK,2003,4,116.593,20.96
64,PRK,2003,5,126.304,0.243
65,PRK,2003,6,132.777,9.711
66,PRK,2003,7,151.617,6.473
67,PRK,2003,8,147.658,18.84
68,PRK,2003,9,134.525,-3.959
69,PRK,2003,10,113.851,-13.133
70,PRK,2003,11,93.428,-20.674
71,PRK,2003,12,122.611,-20.423
72,PRK,2004,1,103.117,29.183
73,PRK,2004,2,112.045,-19.494
74,PRK,2004,3,123.083,8.928
75,PRK,2004,4,117.357,11.038
76,PRK,2004,5,127.924,-5.726
77,PRK,2004,6,146.902,10.567
78,PRK,2004,7,163.214,18.978
79,PRK,2004,8,149.09,16.312
80,PRK,2004,9,154.466,-14.124
81,PRK,2004,10,139.339,5.376
82,PRK,2004,11,119.787,-15.127
83,PRK,2004,12,141.509,-19.552
84,PRK,2005,1,131.409,21.722
85,PRK,2005,2,121.713,-10.1
86,PRK,2005,3,138.858,-9.696
87,PRK,2005,4,130.403,17.145
88,PRK,2005,5,148.342,-8.455
89,PRK,2005,6,150.044,17.939
90,PRK,2005,7,160.282,1.702
91,PRK,2005,8,157.179,10.238
92,PRK,2005,9,147.426,-3.103
93,PRK,2005,10,130.403,-9.753
94,PRK,2005,11,107.502,-17.023
95,PRK,2005,12,96.961,-22.901
