Region,Year,Month,Rainfall
Johor,1980,1,254.5666667
Johor,1981,1,67.5
Johor,1982,1,124.8333333
Johor,1983,1,149.8666667
Johor,1984,1,446.9
Johor,1985,1,249.5666667
Johor,1986,1,261.5
Johor,1987,1,542.5666667
Johor,1988,1,161.6666667
Johor,1989,1,143.4
Johor,1990,1,95.33333333
Johor,1991,1,175.2333333
Johor,1992,1,149.2833333
Johor,1993,1,275.925
Johor,1994,1,97.4
Johor,1995,1,329.275
Johor,1996,1,259.8
Johor,1997,1,26.025
Johor,1998,1,190.9
Johor,1999,1,215.05
Johor,2000,1,289.0
Johor,2001,1,487.125
Johor,2002,1,176.25
Johor,2003,1,383.375
Johor,2004,1,271.35
Johor,2005,1,125.925
Johor,2006,1,222.5
Johor,2007,1,625.45
Johor,2008,1,257.45
Johor,2009,1,119.9
Johor,2010,1,108.1
Johor,2011,1,443.55
Johor,2012,1,209.3
Johor,2013,1,327.85
Johor,2014,1,96.4
Johor,2015,1,157.25
Johor,2016,1,148.15
Johor,2017,1,230.025
Johor,2018,1,0.0
Johor,2019,1,0.0
Johor,2020,1,0.0
Pahang,1980,1,140.6875
Pahang,1981,1,50.46875
Pahang,1982,1,23.0625
Pahang,1983,1,81.275
Pahang,1984,1,421.1692308
Pahang,1985,1,98.55384615
Pahang,1986,1,182.1384615
Pahang,1987,1,272.4692308
Pahang,1988,1,144.0923077
Pahang,1989,1,287.5692308
Pahang,1990,1,129.4769231
Pahang,1991,1,172.8076923
Pahang,1992,1,141.9615385
Pahang,1993,1,140.2615385
Pahang,1994,1,186.5846154
Pahang,1995,1,453.6769231
Pahang,1996,1,227.3538462
Pahang,1997,1,9.4
Pahang,1998,1,211.4923077
Pahang,1999,1,264.7230769
Pahang,2000,1,252.9384615
Pahang,2001,1,235.2769231
Pahang,2002,1,72.92307692
Pahang,2003,1,384.1846154
Pahang,2004,1,218.4923077
Pahang,2005,1,89.58461538
Pahang,2006,1,177.7333333
Pahang,2007,1,358.9333333
Pahang,2008,1,190.2
Pahang,2009,1,246.0666667
Pahang,2010,1,138.8666667
Pahang,2011,1,372.3333333
Pahang,2012,1,377.0666667
Pahang,2013,1,168.4666667
Pahang,2014,1,99.63333333
Pahang,2015,1,154.1333333
Pahang,2016,1,87.0
Pahang,2017,1,492.2333333
Pahang,2018,1,0.0
Pahang,2019,1,0.0
Pahang,2020,1,0.0
Perak,1980,1,61.35
Perak,1981,1,139.25
Perak,1982,1,18.125
Perak,1983,1,77.125
Perak,1984,1,208.7444444
Perak,1985,1,120.6222222
Perak,1986,1,172.8333333
Perak,1987,1,146.5888889
Perak,1988,1,185.3
Perak,1989,1,198.0333333
Perak,1990,1,67.95555556
Perak,1991,1,213.9222222
Perak,1992,1,84.82222222
Perak,1993,1,135.8033333
Perak,1994,1,71.28
Perak,1995,1,195.8
Perak,1996,1,115.7
Perak,1997,1,45.3
Perak,1998,1,109.84
Perak,1999,1,223.55
Perak,2000,1,249.57
Perak,2001,1,224.2
Perak,2002,1,111.76
Perak,2003,1,136.72
Perak,2004,1,208.3
Perak,2005,1,63.2
Perak,2006,1,144.3
Perak,2007,1,171.52
Perak,2008,1,212.7
Perak,2009,1,221.44
Perak,2010,1,256.22
Perak,2011,1,251.0
Perak,2012,1,227.98
Perak,2013,1,200.34
Perak,2014,1,171.98
Perak,2015,1,113.4
Perak,2016,1,58.38
Perak,2017,1,293.52
Perak,2018,1,0.0
Perak,2019,1,0.0
Perak,2020,1,0.0
Other Pen. States,1980,1,80.20525247
Other Pen. States,1981,1,96.17141977
Other Pen. States,1982,1,40.03576624
Other Pen. States,1983,1,120.5364432
Other Pen. States,1984,1,136.5022398
Other Pen. States,1985,1,61.98484686
Other Pen. States,1986,1,90.29102853
Other Pen. States,1987,1,103.0660707
Other Pen. States,1988,1,143.6294164
Other Pen. States,1989,1,144.0666939
Other Pen. States,1990,1,131.6057663
Other Pen. States,1991,1,194.1414086
Other Pen. States,1992,1,83.9483231
Other Pen. States,1993,1,172.8962974
Other Pen. States,1994,1,107.8511432
Other Pen. States,1995,1,151.6352782
Other Pen. States,1996,1,136.239747
Other Pen. States,1997,1,62.71391442
Other Pen. States,1998,1,157.8494419
Other Pen. States,1999,1,171.9835727
Other Pen. States,2000,1,223.3226618
Other Pen. States,2001,1,305.1723768
Other Pen. States,2002,1,54.96814256
Other Pen. States,2003,1,173.9076849
Other Pen. States,2004,1,141.1871417
Other Pen. States,2005,1,48.44656665
Other Pen. States,2006,1,150.5108089
Other Pen. States,2007,1,227.6862353
Other Pen. States,2008,1,238.8488167
Other Pen. States,2009,1,183.5472655
Other Pen. States,2010,1,194.6075421
Other Pen. States,2011,1,254.8969739
Other Pen. States,2012,1,185.2107852
Other Pen. States,2013,1,215.7312464
Other Pen. States,2014,1,131.1676157
Other Pen. States,2015,1,155.4184841
Other Pen. States,2016,1,207.6751355
Other Pen. States,2017,1,335.5844969
Other Pen. States,2018,1,0.0
Other Pen. States,2019,1,0.0
Other Pen. States,2020,1,0.0
Peninsula,1980,1,152.1510761
Peninsula,1981,1,83.61800681
Peninsula,1982,1,58.86489843
Peninsula,1983,1,109.1343374
Peninsula,1984,1,346.2876024
Peninsula,1985,1,135.7164914
Peninsula,1986,1,182.9131154
Peninsula,1987,1,284.1699042
Peninsula,1988,1,157.1356893
Peninsula,1989,1,202.489425
Peninsula,1990,1,108.2014685
Peninsula,1991,1,186.1661949
Peninsula,1992,1,122.9015096
Peninsula,1993,1,188.1927412
Peninsula,1994,1,120.4455992
Peninsula,1995,1,307.0000645
Peninsula,1996,1,198.309099
Peninsula,1997,1,31.61669675
Peninsula,1998,1,173.3659406
Peninsula,1999,1,220.6271623
Peninsula,2000,1,256.1740984
Peninsula,2001,1,324.0813458
Peninsula,2002,1,106.9876658
Peninsula,2003,1,287.6504681
Peninsula,2004,1,214.4047747
Peninsula,2005,1,85.79962624
Peninsula,2006,1,178.2984632
Peninsula,2007,1,371.6510934
Peninsula,2008,1,225.9191521
Peninsula,2009,1,189.3294461
Peninsula,2010,1,165.6404657
Peninsula,2011,1,341.8045403
Peninsula,2012,1,253.2642979
Peninsula,2013,1,232.6505951
Peninsula,2014,1,120.0705569
Peninsula,2015,1,147.5910376
Peninsula,2016,1,128.5278146
Peninsula,2017,1,339.7594016
Peninsula,2018,1,0.0
Peninsula,2019,1,0.0
Peninsula,2020,1,0.0
Sabah,1980,1,506.8055556
Sabah,1981,1,628.8111111
Sabah,1982,1,305.74
Sabah,1983,1,117.275
Sabah,1984,1,499.295
Sabah,1985,1,176.57
Sabah,1986,1,509.85
Sabah,1987,1,89.66
Sabah,1988,1,191.46
Sabah,1989,1,301.295
Sabah,1990,1,196.32
Sabah,1991,1,201.385
Sabah,1992,1,136.975
Sabah,1993,1,215.09
Sabah,1994,1,265.82
Sabah,1995,1,104.175
Sabah,1996,1,573.88
Sabah,1997,1,289.7
Sabah,1998,1,51.1
Sabah,1999,1,428.41
Sabah,2000,1,325.03
Sabah,2001,1,334.39
Sabah,2002,1,114.165
Sabah,2003,1,299.22
Sabah,2004,1,123.22
Sabah,2005,1,119.01
Sabah,2006,1,402.18
Sabah,2007,1,659.98
Sabah,2008,1,199.13
Sabah,2009,1,615.31
Sabah,2010,1,235.32
Sabah,2011,1,684.1
Sabah,2012,1,542.94
Sabah,2013,1,349.655
Sabah,2014,1,405.44
Sabah,2015,1,394.73
Sabah,2016,1,107.14
Sabah,2017,1,481.43
Sabah,2018,1,0.0
Sabah,2019,1,0.0
Sabah,2020,1,0.0
Sarawak,1980,1,551.2875
Sarawak,1981,1,574.7125
Sarawak,1982,1,445.325
Sarawak,1983,1,424.3
Sarawak,1984,1,490.45
Sarawak,1985,1,289.78
Sarawak,1986,1,583.99
Sarawak,1987,1,338.45
Sarawak,1988,1,389.68
Sarawak,1989,1,393.78
Sarawak,1990,1,421.72
Sarawak,1991,1,323.5
Sarawak,1992,1,324.89
Sarawak,1993,1,291.26
Sarawak,1994,1,467.01
Sarawak,1995,1,286.92
Sarawak,1996,1,459.18
Sarawak,1997,1,256.62
Sarawak,1998,1,253.59
Sarawak,1999,1,417.7
Sarawak,2000,1,445.29
Sarawak,2001,1,553.86
Sarawak,2002,1,526.7
Sarawak,2003,1,563.54
Sarawak,2004,1,546.5
Sarawak,2005,1,375.7
Sarawak,2006,1,381.6
Sarawak,2007,1,565.84
Sarawak,2008,1,361.22
Sarawak,2009,1,930.48
Sarawak,2010,1,483.62
Sarawak,2011,1,580.7
Sarawak,2012,1,472.98
Sarawak,2013,1,241.46
Sarawak,2014,1,418.38
Sarawak,2015,1,543.61
Sarawak,2016,1,215.46
Sarawak,2017,1,332.5
Sarawak,2018,1,0.0
Sarawak,2019,1,0.0
Sarawak,2020,1,0.0
Johor,1980,2,91.36666667
Johor,1981,2,98.26666667
Johor,1982,2,72.43333333
Johor,1983,2,58.06666667
Johor,1984,2,280.1333333
Johor,1985,2,232.8666667
Johor,1986,2,26.36666667
Johor,1987,2,20.0
Johor,1988,2,176.5666667
Johor,1989,2,65.1
Johor,1990,2,142.8
Johor,1991,2,35.4
Johor,1992,2,110.2333333
Johor,1993,2,46.725
Johor,1994,2,168.3
Johor,1995,2,394.675
Johor,1996,2,197.375
Johor,1997,2,129.475
Johor,1998,2,59.05
Johor,1999,2,50.775
Johor,2000,2,127.95
Johor,2001,2,101.975
Johor,2002,2,58.65
Johor,2003,2,90.3
Johor,2004,2,28.125
Johor,2005,2,36.5
Johor,2006,2,129.75
Johor,2007,2,112.775
Johor,2008,2,175.9
Johor,2009,2,103.975
Johor,2010,2,66.35
Johor,2011,2,39.35
Johor,2012,2,157.75
Johor,2013,2,299.725
Johor,2014,2,26.15
Johor,2015,2,42.25
Johor,2016,2,138.75
Johor,2017,2,165.185
Johor,2018,2,0.0
Johor,2019,2,0.0
Johor,2020,2,0.0
Pahang,1980,2,96.3375
Pahang,1981,2,116.78125
Pahang,1982,2,34.49375
Pahang,1983,2,5.78125
Pahang,1984,2,409.7461538
Pahang,1985,2,164.0384615
Pahang,1986,2,17.79230769
Pahang,1987,2,6.507692308
Pahang,1988,2,134.5692308
Pahang,1989,2,17.78461538
Pahang,1990,2,115.9923077
Pahang,1991,2,88.57692308
Pahang,1992,2,64.72307692
Pahang,1993,2,55.80769231
Pahang,1994,2,199.2923077
Pahang,1995,2,181.0307692
Pahang,1996,2,144.3153846
Pahang,1997,2,236.4769231
Pahang,1998,2,10.24615385
Pahang,1999,2,117.4461538
Pahang,2000,2,292.2
Pahang,2001,2,72.73846154
Pahang,2002,2,31.32307692
Pahang,2003,2,65.01538462
Pahang,2004,2,16.06153846
Pahang,2005,2,49.89230769
Pahang,2006,2,329.1333333
Pahang,2007,2,48.6
Pahang,2008,2,218.4
Pahang,2009,2,49.4
Pahang,2010,2,28.66666667
Pahang,2011,2,36.6
Pahang,2012,2,129.9333333
Pahang,2013,2,347.7666667
Pahang,2014,2,9.866666667
Pahang,2015,2,64.66666667
Pahang,2016,2,141.2666667
Pahang,2017,2,316.0366667
Pahang,2018,2,0.0
Pahang,2019,2,0.0
Pahang,2020,2,0.0
Perak,1980,2,104.45
Perak,1981,2,143.575
Perak,1982,2,49.175
Perak,1983,2,34.05
Perak,1984,2,346.2666667
Perak,1985,2,123.9333333
Perak,1986,2,83.5
Perak,1987,2,42.58888889
Perak,1988,2,144.3444444
Perak,1989,2,109.9888889
Perak,1990,2,76.73333333
Perak,1991,2,126.2333333
Perak,1992,2,104.6222222
Perak,1993,2,129.31
Perak,1994,2,159.15
Perak,1995,2,104.89
Perak,1996,2,108.53
Perak,1997,2,114.48
Perak,1998,2,57.48
Perak,1999,2,151.78
Perak,2000,2,154.24
Perak,2001,2,102.36
Perak,2002,2,81.41
Perak,2003,2,183.01
Perak,2004,2,183.41
Perak,2005,2,43.4
Perak,2006,2,206.6
Perak,2007,2,96.46
Perak,2008,2,79.9
Perak,2009,2,108.42
Perak,2010,2,85.38
Perak,2011,2,123.54
Perak,2012,2,213.66
Perak,2013,2,195.1
Perak,2014,2,29.6
Perak,2015,2,87.28
Perak,2016,2,70.64
Perak,2017,2,230.612
Perak,2018,2,0.0
Perak,2019,2,0.0
Perak,2020,2,0.0
Other Pen. States,1980,2,129.0393914
Other Pen. States,1981,2,186.2485425
Other Pen. States,1982,2,181.1531019
Other Pen. States,1983,2,89.82010669
Other Pen. States,1984,2,295.5765438
Other Pen. States,1985,2,165.3435225
Other Pen. States,1986,2,38.63976204
Other Pen. States,1987,2,39.74512404
Other Pen. States,1988,2,162.6023587
Other Pen. States,1989,2,68.09916634
Other Pen. States,1990,2,68.79976144
Other Pen. States,1991,2,46.67901101
Other Pen. States,1992,2,157.8510209
Other Pen. States,1993,2,110.950088
Other Pen. States,1994,2,130.5173493
Other Pen. States,1995,2,98.18420488
Other Pen. States,1996,2,74.56428563
Other Pen. States,1997,2,179.5782294
Other Pen. States,1998,2,159.3744711
Other Pen. States,1999,2,239.6839065
Other Pen. States,2000,2,169.3048887
Other Pen. States,2001,2,156.345311
Other Pen. States,2002,2,51.6768017
Other Pen. States,2003,2,120.7642768
Other Pen. States,2004,2,92.10789089
Other Pen. States,2005,2,73.62982266
Other Pen. States,2006,2,275.4823138
Other Pen. States,2007,2,80.35629205
Other Pen. States,2008,2,171.2711727
Other Pen. States,2009,2,172.7977042
Other Pen. States,2010,2,153.0871216
Other Pen. States,2011,2,102.4912158
Other Pen. States,2012,2,244.9189342
Other Pen. States,2013,2,325.6792442
Other Pen. States,2014,2,9.843028911
Other Pen. States,2015,2,102.0371555
Other Pen. States,2016,2,98.79240005
Other Pen. States,2017,2,95.44966261
Other Pen. States,2018,2,0.0
Other Pen. States,2019,2,0.0
Other Pen. States,2020,2,0.0
Peninsula,1980,2,101.1714206
Peninsula,1981,2,126.6000503
Peninsula,1982,2,71.5207475
Peninsula,1983,2,42.0536767
Peninsula,1984,2,344.0437301
Peninsula,1985,2,174.2120448
Peninsula,1986,2,37.74714286
Peninsula,1987,2,24.11971861
Peninsula,1988,2,153.2533468
Peninsula,1989,2,59.29513903
Peninsula,1990,2,105.5941784
Peninsula,1991,2,73.95819695
Peninsula,1992,2,104.0377995
Peninsula,1993,2,77.95355833
Peninsula,1994,2,168.8781798
Peninsula,1995,2,218.2290832
Peninsula,1996,2,141.270113
Peninsula,1997,2,167.2195496
Peninsula,1998,2,68.25578014
Peninsula,1999,2,132.4533978
Peninsula,2000,2,188.4081082
Peninsula,2001,2,106.4247647
Peninsula,2002,2,53.81245129
Peninsula,2003,2,108.1789712
Peninsula,2004,2,69.51218158
Peninsula,2005,2,50.1317111
Peninsula,2006,2,233.8480266
Peninsula,2007,2,84.23644612
Peninsula,2008,2,168.188486
Peninsula,2009,2,106.3635579
Peninsula,2010,2,80.48453464
Peninsula,2011,2,69.84599861
Peninsula,2012,2,181.7366698
Peninsula,2013,2,299.2592356
Peninsula,2014,2,18.39682262
Peninsula,2015,2,71.40384418
Peninsula,2016,2,116.8374461
Peninsula,2017,2,202.4120319
Peninsula,2018,2,0.0
Peninsula,2019,2,0.0
Peninsula,2020,2,0.0
Sabah,1980,2,120.5833333
Sabah,1981,2,138.7611111
Sabah,1982,2,185.565
Sabah,1983,2,44.335
Sabah,1984,2,637.46
Sabah,1985,2,179.365
Sabah,1986,2,51.985
Sabah,1987,2,66.855
Sabah,1988,2,242.935
Sabah,1989,2,166.54
Sabah,1990,2,58.22
Sabah,1991,2,172.04
Sabah,1992,2,12.685
Sabah,1993,2,209.185
Sabah,1994,2,251.555
Sabah,1995,2,82.355
Sabah,1996,2,331.695
Sabah,1997,2,436.43
Sabah,1998,2,24.285
Sabah,1999,2,399.4
Sabah,2000,2,268.655
Sabah,2001,2,440.18
Sabah,2002,2,53.79
Sabah,2003,2,55.46
Sabah,2004,2,72.56
Sabah,2005,2,35.7
Sabah,2006,2,623.1
Sabah,2007,2,92.04
Sabah,2008,2,561.94
Sabah,2009,2,530.09
Sabah,2010,2,15.16
Sabah,2011,2,482.41
Sabah,2012,2,269.74
Sabah,2013,2,216.89
Sabah,2014,2,192.81
Sabah,2015,2,15.23
Sabah,2016,2,94.03
Sabah,2017,2,165.885
Sabah,2018,2,0.0
Sabah,2019,2,0.0
Sabah,2020,2,0.0
Sarawak,1980,2,179.725
Sarawak,1981,2,307.575
Sarawak,1982,2,245.975
Sarawak,1983,2,145.33
Sarawak,1984,2,430.03
Sarawak,1985,2,200.41
Sarawak,1986,2,248.06
Sarawak,1987,2,59.63
Sarawak,1988,2,257.39
Sarawak,1989,2,309.21
Sarawak,1990,2,164.69
Sarawak,1991,2,212.16
Sarawak,1992,2,143.95
Sarawak,1993,2,89.25
Sarawak,1994,2,264.08
Sarawak,1995,2,359.87
Sarawak,1996,2,451.73
Sarawak,1997,2,365.53
Sarawak,1998,2,101.78
Sarawak,1999,2,349.89
Sarawak,2000,2,371.59
Sarawak,2001,2,333.84
Sarawak,2002,2,297.26
Sarawak,2003,2,336.96
Sarawak,2004,2,197.16
Sarawak,2005,2,266.68
Sarawak,2006,2,292.84
Sarawak,2007,2,346.1
Sarawak,2008,2,389.44
Sarawak,2009,2,305.52
Sarawak,2010,2,180.48
Sarawak,2011,2,331.06
Sarawak,2012,2,276.44
Sarawak,2013,2,344.53
Sarawak,2014,2,48.78
Sarawak,2015,2,235.92
Sarawak,2016,2,406.16
Sarawak,2017,2,376.574
Sarawak,2018,2,0.0
Sarawak,2019,2,0.0
Sarawak,2020,2,0.0
Johor,1980,3,92.96666667
Johor,1981,3,97.63333333
Johor,1982,3,190.1666667
Johor,1983,3,62.23333333
Johor,1984,3,237.3
Johor,1985,3,291.8
Johor,1986,3,359.4333333
Johor,1987,3,165.9333333
Johor,1988,3,270.2666667
Johor,1989,3,210.5666667
Johor,1990,3,94.3
Johor,1991,3,188.9666667
Johor,1992,3,125.2666667
Johor,1993,3,203.6
Johor,1994,3,302.6
Johor,1995,3,114.375
Johor,1996,3,121.425
Johor,1997,3,121.275
Johor,1998,3,124.775
Johor,1999,3,281.75
Johor,2000,3,243.2
Johor,2001,3,173.25
Johor,2002,3,140.5
Johor,2003,3,129.125
Johor,2004,3,425.675
Johor,2005,3,123.25
Johor,2006,3,116.25
Johor,2007,3,151.6
Johor,2008,3,342.1
Johor,2009,3,274.1
Johor,2010,3,158.3
Johor,2011,3,251.325
Johor,2012,3,214.1
Johor,2013,3,154.25
Johor,2014,3,153.45
Johor,2015,3,138.25
Johor,2016,3,96.1
Johor,2017,3,190.185
Johor,2018,3,0.0
Johor,2019,3,0.0
Johor,2020,3,0.0
Pahang,1980,3,124.19375
Pahang,1981,3,43.41875
Pahang,1982,3,202.625
Pahang,1983,3,59.93125
Pahang,1984,3,180.9076923
Pahang,1985,3,516.0615385
Pahang,1986,3,203.3692308
Pahang,1987,3,180.7846154
Pahang,1988,3,306.9307692
Pahang,1989,3,243.2769231
Pahang,1990,3,47.03076923
Pahang,1991,3,162.9615385
Pahang,1992,3,93.35384615
Pahang,1993,3,279.6230769
Pahang,1994,3,270.5538462
Pahang,1995,3,139.0307692
Pahang,1996,3,91.93846154
Pahang,1997,3,122.0538462
Pahang,1998,3,64.31538462
Pahang,1999,3,218.7846154
Pahang,2000,3,261.7153846
Pahang,2001,3,204.3076923
Pahang,2002,3,85.1
Pahang,2003,3,154.8461538
Pahang,2004,3,171.6923077
Pahang,2005,3,76.92307692
Pahang,2006,3,97.26666667
Pahang,2007,3,108.2
Pahang,2008,3,327.0
Pahang,2009,3,294.0666667
Pahang,2010,3,151.2333333
Pahang,2011,3,427.4666667
Pahang,2012,3,256.4
Pahang,2013,3,29.93333333
Pahang,2014,3,68.93333333
Pahang,2015,3,30.13333333
Pahang,2016,3,28.93333333
Pahang,2017,3,89.80333333
Pahang,2018,3,0.0
Pahang,2019,3,0.0
Pahang,2020,3,0.0
Perak,1980,3,129.675
Perak,1981,3,95.6
Perak,1982,3,47.7
Perak,1983,3,109.875
Perak,1984,3,265.3222222
Perak,1985,3,237.5555556
Perak,1986,3,184.3444444
Perak,1987,3,128.2333333
Perak,1988,3,231.9444444
Perak,1989,3,186.7666667
Perak,1990,3,78.45555556
Perak,1991,3,147.2333333
Perak,1992,3,93.85555556
Perak,1993,3,173.73
Perak,1994,3,228.55
Perak,1995,3,205.53
Perak,1996,3,177.59
Perak,1997,3,106.26
Perak,1998,3,77.9
Perak,1999,3,212.48
Perak,2000,3,173.08
Perak,2001,3,123.65
Perak,2002,3,121.98
Perak,2003,3,127.66
Perak,2004,3,148.37
Perak,2005,3,95.7
Perak,2006,3,213.6
Perak,2007,3,140.8
Perak,2008,3,327.45
Perak,2009,3,285.9
Perak,2010,3,109.2
Perak,2011,3,284.54
Perak,2012,3,232.01
Perak,2013,3,156.94
Perak,2014,3,76.87
Perak,2015,3,99.03
Perak,2016,3,80.7
Perak,2017,3,218.084
Perak,2018,3,0.0
Perak,2019,3,0.0
Perak,2020,3,0.0
Other Pen. States,1980,3,254.7178191
Other Pen. States,1981,3,130.0768168
Other Pen. States,1982,3,291.9486878
Other Pen. States,1983,3,169.9753667
Other Pen. States,1984,3,181.0946352
Other Pen. States,1985,3,330.9046428
Other Pen. States,1986,3,109.0174498
Other Pen. States,1987,3,154.8636036
Other Pen. States,1988,3,183.9292594
Other Pen. States,1989,3,137.4834134
Other Pen. States,1990,3,198.6889145
Other Pen. States,1991,3,184.1707703
Other Pen. States,1992,3,833.4624423
Other Pen. States,1993,3,151.3398665
Other Pen. States,1994,3,348.7869498
Other Pen. States,1995,3,180.2657884
Other Pen. States,1996,3,244.739267
Other Pen. States,1997,3,161.5794252
Other Pen. States,1998,3,118.3944936
Other Pen. States,1999,3,234.1028839
Other Pen. States,2000,3,245.7729299
Other Pen. States,2001,3,178.124269
Other Pen. States,2002,3,127.2109465
Other Pen. States,2003,3,219.7046093
Other Pen. States,2004,3,130.0209211
Other Pen. States,2005,3,206.0623203
Other Pen. States,2006,3,142.6063202
Other Pen. States,2007,3,219.1541788
Other Pen. States,2008,3,312.008076
Other Pen. States,2009,3,355.7693359
Other Pen. States,2010,3,231.1605498
Other Pen. States,2011,3,479.9411804
Other Pen. States,2012,3,237.2975493
Other Pen. States,2013,3,158.6316505
Other Pen. States,2014,3,125.5506191
Other Pen. States,2015,3,201.8361541
Other Pen. States,2016,3,79.36362403
Other Pen. States,2017,3,187.4515894
Other Pen. States,2018,3,0.0
Other Pen. States,2019,3,0.0
Other Pen. States,2020,3,0.0
Peninsula,1980,3,133.2812612
Peninsula,1981,3,86.35032006
Peninsula,1982,3,174.4827863
Peninsula,1983,3,87.99788588
Peninsula,1984,3,216.3902975
Peninsula,1985,3,362.5916207
Peninsula,1986,3,221.9024483
Peninsula,1987,3,160.874295
Peninsula,1988,3,257.3239493
Peninsula,1989,3,201.9455351
Peninsula,1990,3,96.16048266
Peninsula,1991,3,170.8075413
Peninsula,1992,3,239.0842116
Peninsula,1993,3,210.7246689
Peninsula,1994,3,286.0617256
Peninsula,1995,3,152.3060328
Peninsula,1996,3,146.3014513
Peninsula,1997,3,125.6282129
Peninsula,1998,3,97.37236483
Peninsula,1999,3,239.8066622
Peninsula,2000,3,235.4132889
Peninsula,2001,3,173.4592074
Peninsula,2002,3,118.3951437
Peninsula,2003,3,156.9050011
Peninsula,2004,3,233.0422432
Peninsula,2005,3,124.0899685
Peninsula,2006,3,135.8370819
Peninsula,2007,3,152.9752289
Peninsula,2008,3,327.9029404
Peninsula,2009,3,301.5129199
Peninsula,2010,3,164.5368118
Peninsula,2011,3,361.2135999
Peninsula,2012,3,234.7494592
Peninsula,2013,3,121.580728
Peninsula,2014,3,108.8569149
Peninsula,2015,3,116.307824
Peninsula,2016,3,70.63644136
Peninsula,2017,3,167.2001913
Peninsula,2018,3,0.0
Peninsula,2019,3,0.0
Peninsula,2020,3,0.0
Sabah,1980,3,58.56666667
Sabah,1981,3,87.90555556
Sabah,1982,3,76.315
Sabah,1983,3,28.015
Sabah,1984,3,139.785
Sabah,1985,3,187.04
Sabah,1986,3,64.36
Sabah,1987,3,38.555
Sabah,1988,3,166.585
Sabah,1989,3,200.99
Sabah,1990,3,59.4
Sabah,1991,3,31.32
Sabah,1992,3,38.265
Sabah,1993,3,137.625
Sabah,1994,3,397.285
Sabah,1995,3,156.72
Sabah,1996,3,84.905
Sabah,1997,3,42.165
Sabah,1998,3,14.24
Sabah,1999,3,254.965
Sabah,2000,3,226.75
Sabah,2001,3,382.29
Sabah,2002,3,97.645
Sabah,2003,3,186.095
Sabah,2004,3,91.86
Sabah,2005,3,121.0
Sabah,2006,3,269.02
Sabah,2007,3,172.04
Sabah,2008,3,371.84
Sabah,2009,3,231.62
Sabah,2010,3,88.21
Sabah,2011,3,562.24
Sabah,2012,3,251.54
Sabah,2013,3,99.65
Sabah,2014,3,84.28
Sabah,2015,3,94.75
Sabah,2016,3,54.575
Sabah,2017,3,176.566
Sabah,2018,3,0.0
Sabah,2019,3,0.0
Sabah,2020,3,0.0
Sarawak,1980,3,155.1875
Sarawak,1981,3,249.925
Sarawak,1982,3,220.575
Sarawak,1983,3,122.59
Sarawak,1984,3,250.03
Sarawak,1985,3,387.83
Sarawak,1986,3,365.37
Sarawak,1987,3,163.26
Sarawak,1988,3,332.5
Sarawak,1989,3,212.606
Sarawak,1990,3,175.24
Sarawak,1991,3,150.61
Sarawak,1992,3,150.63
Sarawak,1993,3,343.27
Sarawak,1994,3,483.0
Sarawak,1995,3,330.82
Sarawak,1996,3,218.59
Sarawak,1997,3,186.96
Sarawak,1998,3,170.31
Sarawak,1999,3,324.54
Sarawak,2000,3,238.89
Sarawak,2001,3,314.46
Sarawak,2002,3,316.68
Sarawak,2003,3,327.66
Sarawak,2004,3,278.1
Sarawak,2005,3,318.0
Sarawak,2006,3,169.9
Sarawak,2007,3,187.68
Sarawak,2008,3,398.32
Sarawak,2009,3,293.36
Sarawak,2010,3,259.1
Sarawak,2011,3,366.76
Sarawak,2012,3,324.58
Sarawak,2013,3,202.54
Sarawak,2014,3,123.46
Sarawak,2015,3,138.07
Sarawak,2016,3,254.0
Sarawak,2017,3,252.562
Sarawak,2018,3,0.0
Sarawak,2019,3,0.0
Sarawak,2020,3,0.0
Johor,1980,4,258.3
Johor,1981,4,245.0
Johor,1982,4,231.7
Johor,1983,4,51.56666667
Johor,1984,4,204.1333333
Johor,1985,4,180.7666667
Johor,1986,4,240.9666667
